id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
89238,49181,Power Rangers: Wild Force,NULL,2002-09-19 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
89796,3881,Disney Sports Skateboarding,NULL,2002-07-25 00:00:00.000,NULL,NULL,NULL,NULL,43.0000,1
89857,70414,Galaxy Angel,NULL,2002-08-23 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
89961,4028,NASCAR Thunder 2003,NULL,2002-09-19 00:00:00.000,NULL,NULL,NULL,NULL,33.0000,2
89990,4092,Rocket Power: Beach Bandits,NULL,2002-09-20 00:00:00.000,2,NULL,NULL,NULL,34.0000,3
90014,71917,Jump Start: Animal Adventures,NULL,2002-11-06 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
90016,49180,Punch King,NULL,2002-06-15 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
90113,47351,MotoGP Ultimate Racing Technology,NULL,2002-06-14 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
90177,2764,Nickelodeon Party Blast,NULL,2002-10-30 00:00:00.000,1,NULL,NULL,NULL,38.0000,0
90224,2330,Mario Party 4,NULL,2002-10-21 00:00:00.000,22,NULL,50.0000,1,73.5765,67
90527,49560,Chobits for Gameboy Advance: Atashi Dake no Hito,NULL,2002-10-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
90781,9504,"Earth and Sky 2: Another Earth, Another Sky",NULL,2002-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
91221,19674,Backyard Baseball,NULL,2002-06-21 00:00:00.000,NULL,NULL,NULL,NULL,44.0000,3
91308,3880,Disney Sports Basketball,NULL,2002-11-05 00:00:00.000,NULL,NULL,NULL,NULL,34.0000,0
91336,187024,Minarai Mahoutsukai Fuwaru no Bouken,NULL,2002-07-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
91521,43880,Big Bass Fishing,NULL,2002-06-07 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
91561,72608,Ultraman Fighting Evolution 2,"In this mode you will choose 3 story if you defeated one of the story you will unlocked a character. Below are the listed of the story: 
 
The Prince of Monsters (From episodes 26 27 of Ultraman) 
The Ultra Garrison Goes West (From episodes 14 and 15 of Ultraseven) 
The Great Earth Invasion Operation (Exclusive to the game)",2002-10-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
91591,22941,Le Tour de France,NULL,2002-06-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
